remote_share,remote_attrition_coef,rep,seed,velocity,total_velocity,avg_wait,blockers_resolved,completed_tasks,mean_skill,attrition_count
0.8,0.0,2,1000000801002,712,16818,2.022149302707137,1219,6074,0.8641598153903253,3
0.8,0.0,3,1000000801003,698,16743,2.132850241545894,1242,6091,0.8917566942998366,1
0.8,0.0,4,1000000801004,705,16775,2.1141215106732347,1218,6078,0.8616705951806896,2
0.8,0.0,5,1000000801005,709,16826,1.9870654810024253,1237,6113,0.8956857532258754,0
0.8,0.0,6,1000000801006,721,16798,1.9741784037558685,1278,6111,0.8957358543911462,0
0.8,0.0,7,1000000801007,705,16743,2.1647157190635453,1196,6119,0.8357559788472801,5
0.8,0.0,8,1000000801008,701,16871,1.951505016722408,1196,6082,0.7879907452729047,4
0.8,0.0,9,1000000801009,707,16702,2.2279835390946503,1215,6101,0.8897197442550702,2
0.8,0.0,10,1000000801010,693,16786,2.013460015835313,1263,6101,0.7920153647731923,5
0.8,0.0,11,1000000801011,709,16814,1.979149959903769,1247,6109,0.8950289765161902,1
0.8,0.0,12,1000000801012,705,16769,2.0956663941128375,1223,6099,0.8952831611684757,1
0.8,0.0,13,1000000801013,688,16740,2.165203511572227,1253,6007,0.8883922017424851,3
0.8,0.0,14,1000000801014,711,16778,2.125,1192,6113,0.8928084919983974,1
0.8,0.0,15,1000000801015,710,16811,1.956726986624705,1271,6109,0.8958633382517096,0
0.8,0.0,16,1000000801016,715,16795,2.030944625407166,1228,6147,0.8783942301438824,1
0.8,0.0,17,1000000801017,706,16730,2.221217105263158,1216,6022,0.8685271420712416,2
0.8,0.0,18,1000000801018,704,16700,2.174188440221694,1263,6089,0.8581472641632898,1
0.8,0.0,19,1000000801019,721,16825,2.079497907949791,1195,6019,0.8944814442503517,1
1.0,0.0,0,1000001001000,712,16745,2.175925925925926,1188,6101,0.8736647268300877,2
1.0,0.0,1,1000001001001,718,16717,2.2181818181818183,1210,6097,0.8955831273221255,0
1.0,0.0,2,1000001001002,690,16703,2.135658914728682,1290,6040,0.8958746300189239,0
1.0,0.0,3,1000001001003,722,16720,2.215669755686605,1187,6122,0.8953443039211677,0
1.0,0.0,4,1000001001004,715,16697,2.3130287648054146,1182,6038,0.8909219924443145,2
1.0,0.0,5,1000001001005,717,16713,2.186991869918699,1230,6111,0.8922872514720247,1
1.0,0.0,6,1000001001006,715,16705,2.208573784006595,1213,6107,0.8862507452519994,1
1.0,0.0,7,1000001001007,713,16636,2.328250401284109,1246,6039,0.878158627739589,1
1.0,0.0,8,1000001001008,702,16804,2.1207645525629886,1151,6095,0.8580505401576977,2
1.0,0.0,9,1000001001009,688,16607,2.34037558685446,1278,5981,0.8921806914410876,1
1.0,0.0,10,1000001001010,703,16765,1.9657534246575343,1314,6153,0.8960077590735324,0
1.0,0.0,11,1000001001011,721,16667,2.276475343573161,1237,6054,0.8857669790256562,1
1.0,0.0,12,1000001001012,716,16791,1.9755905511811023,1270,6113,0.8955883795805872,0
1.0,0.0,13,1000001001013,700,16664,2.364327979712595,1183,6032,0.8761817899632444,3
1.0,0.0,14,1000001001014,699,16648,2.3917089678510997,1182,6013,0.8590833458300049,4
1.0,0.0,15,1000001001015,705,16656,2.3440134907251267,1186,6063,0.8887103771066609,3
1.0,0.0,16,1000001001016,709,16723,2.144223107569721,1255,6083,0.8953514016701636,1
1.0,0.0,17,1000001001017,710,16721,2.2320987654320987,1215,6044,0.8947902573990023,0
1.0,0.0,18,1000001001018,713,16717,2.1915584415584415,1232,6047,0.893772028942516,2
1.0,0.0,19,1000001001019,714,16637,2.331973898858075,1226,6101,0.8847716432983322,2
0.0,1.0,0,1010000001000,716,17130,1.4419934640522876,1224,6246,0.8960245467476243,0
0.0,1.0,1,1010000001001,723,17166,1.413290113452188,1234,6165,0.874748847960278,2
0.0,1.0,2,1010000001002,716,17084,1.419112114371708,1329,6297,0.8968388147971549,1
0.0,1.0,3,1010000001003,724,17169,1.3352180936995153,1238,6265,0.896258301282112,1
0.0,1.0,4,1010000001004,713,17153,1.3900414937759336,1205,6275,0.8934638752988235,2
