remote_share,block_prob,rep,seed,velocity,avg_wait,blockers_resolved,completed_tasks
0.8,0.05,0,501800,596,3.5,108,197
0.8,0.05,1,501900,560,3.608695652173913,115,212
0.8,0.05,2,502000,593,3.7888888888888888,90,219
0.8,0.05,3,502100,571,3.296,125,202
0.8,0.05,4,502200,590,3.232142857142857,112,231
0.8,0.05,5,502300,589,3.357142857142857,112,214
0.8,0.05,6,502400,578,3.6607142857142856,112,194
0.8,0.05,7,502500,568,3.5929203539823007,113,208
0.8,0.05,8,502600,569,4.097087378640777,103,206
0.8,0.05,9,502700,589,3.625,96,253
0.8,0.05,10,502800,615,2.6666666666666665,114,223
0.8,0.05,11,502900,608,3.32,100,219
0.8,0.05,12,503000,605,3.1782178217821784,101,233
0.8,0.05,13,503100,588,3.605769230769231,104,219
0.8,0.05,14,503200,579,3.1984126984126986,126,197
0.8,0.05,15,503300,597,3.2685185185185186,108,218
0.8,0.05,16,503400,579,4.019417475728155,103,207
0.8,0.05,17,503500,598,3.3636363636363638,110,217
0.8,0.05,18,503600,585,3.5233644859813085,107,213
0.8,0.05,19,503700,606,3.1515151515151514,99,229
1.0,0.05,0,502000,590,3.727272727272727,99,216
1.0,0.05,1,502100,582,3.5137614678899083,109,206
1.0,0.05,2,502200,545,4.008695652173913,115,212
1.0,0.05,3,502300,594,3.3979591836734695,98,217
1.0,0.05,4,502400,537,4.718446601941747,103,179
1.0,0.05,5,502500,555,3.7876106194690267,113,202
1.0,0.05,6,502600,577,4.568181818181818,88,208
1.0,0.05,7,502700,561,4.08080808080808,99,242
1.0,0.05,8,502800,563,4.046296296296297,108,204
1.0,0.05,9,502900,556,4.009174311926605,109,203
1.0,0.05,10,503000,570,3.87,100,220
1.0,0.05,11,503100,559,4.184466019417476,103,207
1.0,0.05,12,503200,569,3.2734375,128,195
1.0,0.05,13,503300,571,3.8365384615384617,104,211
1.0,0.05,14,503400,536,4.513513513513513,111,193
1.0,0.05,15,503500,566,3.563025210084034,119,206
1.0,0.05,16,503600,567,4.202020202020202,99,206
1.0,0.05,17,503700,564,4.0,98,215
1.0,0.05,18,503800,571,3.923076923076923,104,210
1.0,0.05,19,503900,567,4.550561797752809,89,200
